timestamp,model_id,task,dataset_split,seq_len,batch_size,dtype,method,qkv_mode,rank,budget,backend,stage,seed,metric_name,metric_value,notes
2026-03-10T23:47:57,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,f1,0.489034,stage=no_finetune
2026-03-10T23:49:41,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,accuracy,0.338665,stage=no_finetune
2026-03-10T23:49:41,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,accuracy,0.338665,stage=no_finetune sdpa_path=flash
2026-03-10T23:49:41,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.339379,stage=no_finetune
2026-03-10T23:50:48,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,accuracy,0.516017,stage=no_finetune
2026-03-10T23:50:48,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,accuracy,0.516017,stage=no_finetune sdpa_path=flash
2026-03-10T23:50:48,compressed_models/modernbert/dense/qnli/pretrained_base,qnli,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.516383,stage=no_finetune
2026-03-10T23:51:10,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,accuracy,0.530686,stage=no_finetune
2026-03-10T23:51:10,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,accuracy,0.530686,stage=no_finetune sdpa_path=flash
2026-03-10T23:51:10,compressed_models/modernbert/dense/rte/pretrained_base,rte,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.530686,stage=no_finetune
2026-03-10T23:51:44,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,pearson,-0.056276,stage=no_finetune
2026-03-10T23:51:44,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,pearson,-0.056276,stage=no_finetune sdpa_path=flash
2026-03-10T23:51:44,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,pearson,-0.020083,stage=no_finetune
2026-03-10T23:52:28,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,matthews_correlation,0.029292,stage=no_finetune
2026-03-10T23:52:28,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,matthews_correlation,0.029292,stage=no_finetune sdpa_path=flash
2026-03-10T23:52:28,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,matthews_correlation,0.029292,stage=no_finetune
2026-03-10T23:52:56,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,accuracy,0.746560,stage=no_finetune
2026-03-10T23:52:56,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,accuracy,0.746560,stage=no_finetune sdpa_path=flash
2026-03-10T23:52:56,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,accuracy,0.744266,stage=no_finetune
2026-03-10T23:53:20,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,f1,0.744102,stage=no_finetune
2026-03-10T23:53:20,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,f1,0.744102,stage=no_finetune sdpa_path=flash
2026-03-10T23:53:20,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,f1,0.731261,stage=no_finetune
2026-03-10T23:59:25,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,f1,0.571089,stage=no_finetune
2026-03-10T23:59:25,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,f1,0.571089,stage=no_finetune sdpa_path=flash
2026-03-10T23:59:25,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,drone,per_head,,,flashsvd15,compress_eval,42,f1,0.571559,stage=no_finetune
2026-03-11T00:01:11,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,drone,per_head,,,naive,compress_eval,42,accuracy,0.408355,stage=no_finetune
2026-03-11T00:01:11,compressed_models/modernbert/dense/mnli/pretrained_base,mnli,validation,512,32,bf16,drone,per_head,,,sdpa,compress_eval,42,accuracy,0.408355,stage=no_finetune sdpa_path=flash
