task,method,dtype,seq_len,batch_size,backend,lat_real,lat_synthetic,speedup_real,speedup_synth,speedup_delta,seq_pad_real
qqp,drone,bf16,512,32,naive,64.8,51.25,1.0,1.0,0.0,93.91
qqp,drone,bf16,512,32,sdpa,26.35,25.35,2.459,2.022,-0.437,93.91
qqp,fwsvd,bf16,512,32,flashsvd,44.26,44.55,1.464,1.148,-0.316,93.91
qqp,fwsvd,bf16,512,32,flashsvd15,22.3,22.6,2.905,2.263,-0.642,93.91
qqp,fwsvd,bf16,512,32,naive,64.79,51.15,1.0,1.0,0.0,93.91
qqp,fwsvd,bf16,512,32,sdpa,26.33,25.27,2.461,2.024,-0.437,93.91
qqp,svd,bf16,512,32,flashsvd,44.11,44.54,1.469,1.149,-0.32,93.91
qqp,svd,bf16,512,32,flashsvd15,22.33,22.6,2.902,2.264,-0.638,93.91
qqp,svd,bf16,512,32,naive,64.8,51.16,1.0,1.0,0.0,93.91
qqp,svd,bf16,512,32,sdpa,26.28,25.34,2.466,2.019,-0.447,93.91
rte,adasvd,bf16,512,32,flashsvd,44.7,44.95,1.461,1.145,-0.316,86.7
rte,adasvd,bf16,512,32,flashsvd15,19.98,20.74,3.268,2.482,-0.786,86.7
rte,adasvd,bf16,512,32,naive,65.3,51.48,1.0,1.0,0.0,86.7
rte,adasvd,bf16,512,32,sdpa,27.2,26.1,2.401,1.972,-0.429,86.7
rte,dense,bf16,512,32,flashsvd,24.64,23.73,0.997,0.993,-0.004,86.7
rte,dense,bf16,512,32,flashsvd15,24.62,23.55,0.998,1.0,0.002,86.7
rte,dense,bf16,512,32,naive,24.57,23.56,1.0,1.0,0.0,86.7
rte,dense,bf16,512,32,sdpa,24.6,23.58,0.999,0.999,0.0,86.7
rte,drone,bf16,512,32,flashsvd,44.17,44.41,1.467,1.152,-0.315,86.7
rte,drone,bf16,512,32,flashsvd15,22.27,22.59,2.91,2.265,-0.645,86.7
rte,drone,bf16,512,32,naive,64.8,51.16,1.0,1.0,0.0,86.7
rte,drone,bf16,512,32,sdpa,26.28,25.3,2.466,2.022,-0.444,86.7
rte,fwsvd,bf16,512,32,flashsvd,44.1,44.44,1.47,1.151,-0.319,86.7
