task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
mrpc,dense,sdpa,synthetic,bf16,512,32,3,23.5,0.11,1361.5,6.4,0.47
mrpc,drone,flashsvd,real,bf16,512,32,3,44.15,0.13,724.8,2.2,0.29
mrpc,drone,flashsvd,synthetic,bf16,512,32,3,44.58,0.06,717.8,1.0,0.13
mrpc,drone,flashsvd15,real,bf16,512,32,3,22.29,0.11,1435.8,6.8,0.49
mrpc,drone,flashsvd15,synthetic,bf16,512,32,3,22.53,0.03,1420.3,1.7,0.13
mrpc,drone,naive,real,bf16,512,32,3,64.77,0.14,494.1,1.1,0.22
mrpc,drone,naive,synthetic,bf16,512,32,3,51.17,0.1,625.4,1.2,0.2
mrpc,drone,sdpa,real,bf16,512,32,3,26.31,0.08,1216.3,3.5,0.3
mrpc,drone,sdpa,synthetic,bf16,512,32,3,25.23,0.01,1268.2,0.4,0.04
mrpc,fwsvd,flashsvd,real,bf16,512,32,3,44.22,0.07,723.6,1.2,0.16
mrpc,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.5,0.09,719.1,1.5,0.2
mrpc,fwsvd,flashsvd15,real,bf16,512,32,3,22.26,0.1,1437.4,6.7,0.45
mrpc,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.65,0.02,1413.1,1.2,0.09
mrpc,fwsvd,naive,real,bf16,512,32,3,64.82,0.14,493.7,1.1,0.22
mrpc,fwsvd,naive,synthetic,bf16,512,32,3,51.18,0.07,625.2,0.9,0.14
mrpc,fwsvd,sdpa,real,bf16,512,32,3,26.38,0.02,1213.0,0.7,0.08
mrpc,fwsvd,sdpa,synthetic,bf16,512,32,3,25.38,0.05,1260.8,2.6,0.2
mrpc,svd,flashsvd,real,bf16,512,32,3,44.08,0.04,726.0,0.6,0.09
mrpc,svd,flashsvd,synthetic,bf16,512,32,3,44.52,0.05,718.8,0.8,0.11
mrpc,svd,flashsvd15,real,bf16,512,32,3,22.26,0.1,1437.8,6.2,0.45
mrpc,svd,flashsvd15,synthetic,bf16,512,32,3,22.6,0.04,1415.9,2.7,0.18
mrpc,svd,naive,real,bf16,512,32,3,64.86,0.13,493.4,1.0,0.2
mrpc,svd,naive,synthetic,bf16,512,32,3,51.14,0.06,625.8,0.8,0.12
mrpc,svd,sdpa,real,bf16,512,32,3,26.39,0.02,1212.8,0.8,0.08
mrpc,svd,sdpa,synthetic,bf16,512,32,3,25.31,0.04,1264.4,1.8,0.16
qnli,adasvd,flashsvd,real,bf16,512,32,3,42.84,0.03,746.9,0.6,0.07
qnli,adasvd,flashsvd,synthetic,bf16,512,32,3,42.89,0.06,746.1,1.1,0.14
qnli,adasvd,flashsvd15,real,bf16,512,32,3,19.83,0.04,1613.8,3.6,0.2
qnli,adasvd,flashsvd15,synthetic,bf16,512,32,3,20.51,0.04,1560.2,3.3,0.2
qnli,adasvd,naive,real,bf16,512,32,3,65.5,0.1,488.6,0.7,0.15
qnli,adasvd,naive,synthetic,bf16,512,32,3,51.65,0.07,619.6,0.8,0.14
qnli,adasvd,sdpa,real,bf16,512,32,3,27.28,0.07,1173.1,3.0,0.26
qnli,adasvd,sdpa,synthetic,bf16,512,32,3,26.27,0.04,1218.3,1.8,0.15
qnli,dense,flashsvd,real,bf16,512,32,3,24.69,0.09,1295.9,4.6,0.36
qnli,dense,flashsvd,synthetic,bf16,512,32,3,23.58,0.09,1357.4,5.4,0.38
qnli,dense,flashsvd15,real,bf16,512,32,3,24.66,0.09,1297.4,4.8,0.36
qnli,dense,flashsvd15,synthetic,bf16,512,32,3,23.59,0.11,1356.3,6.1,0.47
qnli,dense,naive,real,bf16,512,32,3,24.65,0.14,1298.0,7.3,0.57
qnli,dense,naive,synthetic,bf16,512,32,3,23.57,0.09,1357.9,5.4,0.38
qnli,dense,sdpa,real,bf16,512,32,3,24.67,0.15,1297.0,7.7,0.61
qnli,dense,sdpa,synthetic,bf16,512,32,3,23.62,0.08,1354.7,4.7,0.34
qnli,drone,flashsvd,real,bf16,512,32,3,43.95,0.09,728.0,1.5,0.2
qnli,drone,flashsvd,synthetic,bf16,512,32,3,44.26,0.04,723.0,0.6,0.09
qnli,drone,flashsvd15,real,bf16,512,32,3,22.31,0.08,1434.5,5.1,0.36
qnli,drone,flashsvd15,synthetic,bf16,512,32,3,22.59,0.03,1416.5,1.8,0.13
qnli,drone,naive,real,bf16,512,32,3,64.81,0.15,493.8,1.1,0.23
qnli,drone,naive,synthetic,bf16,512,32,3,51.15,0.06,625.6,0.8,0.12
qnli,drone,sdpa,real,bf16,512,32,3,26.53,0.24,1206.0,11.0,0.9
qnli,drone,sdpa,synthetic,bf16,512,32,3,25.31,0.03,1264.4,1.4,0.12
qnli,fwsvd,flashsvd,real,bf16,512,32,3,44.21,0.05,723.8,0.8,0.11
qnli,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.53,0.06,718.6,1.0,0.13
qnli,fwsvd,flashsvd15,real,bf16,512,32,3,22.37,0.02,1430.4,1.2,0.09
qnli,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.65,0.03,1413.0,1.6,0.13
qnli,fwsvd,naive,real,bf16,512,32,3,64.8,0.16,493.8,1.2,0.25
qnli,fwsvd,naive,synthetic,bf16,512,32,3,51.21,0.07,624.9,0.8,0.14
qnli,fwsvd,sdpa,real,bf16,512,32,3,26.4,0.04,1212.1,1.8,0.15
qnli,fwsvd,sdpa,synthetic,bf16,512,32,3,25.31,0.02,1264.2,1.2,0.08
qnli,svd,flashsvd,real,bf16,512,32,3,44.12,0.03,725.2,0.5,0.07
qnli,svd,flashsvd,synthetic,bf16,512,32,3,44.5,0.09,719.1,1.4,0.2
qnli,svd,flashsvd15,real,bf16,512,32,3,22.4,0.03,1428.5,2.0,0.13
qnli,svd,flashsvd15,synthetic,bf16,512,32,3,22.58,0.03,1417.3,1.7,0.13
qnli,svd,naive,real,bf16,512,32,3,64.75,0.15,494.2,1.2,0.23
qnli,svd,naive,synthetic,bf16,512,32,3,51.21,0.07,624.9,0.9,0.14
qnli,svd,sdpa,real,bf16,512,32,3,26.34,0.09,1215.1,4.4,0.34
qnli,svd,sdpa,synthetic,bf16,512,32,3,25.34,0.03,1262.9,1.3,0.12
qqp,adasvd,flashsvd,real,bf16,512,32,3,44.85,0.09,713.5,1.4,0.2
qqp,adasvd,flashsvd,synthetic,bf16,512,32,3,44.98,0.05,711.5,0.7,0.11
qqp,adasvd,flashsvd15,real,bf16,512,32,3,20.28,0.02,1577.7,1.4,0.1
qqp,adasvd,flashsvd15,synthetic,bf16,512,32,3,20.97,0.04,1526.2,3.0,0.19
qqp,adasvd,naive,real,bf16,512,32,3,65.79,0.14,486.4,1.1,0.21
